Year,Vehicle Class,2WIC,2WN,2WT,TOTAL
2002,ADAPTED VEHICLE,65,60,0,125
2002,M-CYCLE/SCOOTER,0,2394878,0,2394878
2002,M-CYCLE/SCOOTER-WITH SIDE CAR,0,2452,0,2452
2002,MOPED,0,96319,0,96319
2002,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,54,54
2002,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,112,112
2002,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,6,6
2002,MOTORISED CYCLE (CC > 25CC),0,1013,0,1013
2003,ADAPTED VEHICLE,57,37,0,94
2003,M-CYCLE/SCOOTER,0,2763251,0,2763251
2003,M-CYCLE/SCOOTER-WITH SIDE CAR,0,2239,0,2239
2003,MOPED,0,74578,0,74578
2003,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,138,138
2003,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,733,733
2003,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,2,2
2003,MOTORISED CYCLE (CC > 25CC),0,2107,0,2107
2004,ADAPTED VEHICLE,122,51,0,173
2004,M-CYCLE/SCOOTER,0,3269171,0,3269171
2004,M-CYCLE/SCOOTER-WITH SIDE CAR,0,2008,0,2008
2004,MOPED,0,74621,0,74621
2004,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,193,193
2004,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,819,819
2004,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,3,3
2004,MOTORISED CYCLE (CC > 25CC),0,3214,0,3214
2005,ADAPTED VEHICLE,190,57,0,247
2005,M-CYCLE/SCOOTER,0,3915308,0,3915308
2005,M-CYCLE/SCOOTER-WITH SIDE CAR,0,2118,0,2118
2005,MOPED,0,74803,0,74803
2005,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,194,194
2005,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,992,992
2005,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,3,3
2005,MOTORISED CYCLE (CC > 25CC),0,3129,0,3129
2006,ADAPTED VEHICLE,157,69,0,226
2006,M-CYCLE/SCOOTER,0,4794629,0,4794629
2006,M-CYCLE/SCOOTER-WITH SIDE CAR,0,1650,0,1650
2006,MOPED,0,113751,0,113751
2006,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,142,142
2006,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,1053,1053
2006,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,1,1
2006,MOTORISED CYCLE (CC > 25CC),0,2942,0,2942
2007,ADAPTED VEHICLE,190,95,0,285
2007,M-CYCLE/SCOOTER,0,5342195,0,5342195
2007,M-CYCLE/SCOOTER-WITH SIDE CAR,0,1498,0,1498
2007,MOPED,0,179858,0,179858
2007,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,81,81
2007,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,1053,1053
2007,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,1,1
2007,MOTORISED CYCLE (CC > 25CC),0,1354,0,1354
2008,ADAPTED VEHICLE,374,97,0,471
2008,M-CYCLE/SCOOTER,0,5726821,0,5726821
2008,M-CYCLE/SCOOTER-WITH SIDE CAR,0,1607,0,1607
2008,MOPED,0,203055,0,203055
2008,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,72,72
2008,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,1713,1713
